id,section,manuscript_label_or_location,claim_summary,action,new_value_or_note,reviewer_mapping_inferred
11,Table tab:impact_split_counts,lines 1080-1094,"Train 165/7 Val 35/1 Test 36/2 (manuscript itself flags as illustrative)",remove,"Impact forecasting invalid on both real datasets -- see DIFF.md 12.4 replacement section",Results integrity
12,Table tab:impact_results_combined,lines 1105-1128,"Stage-only/Embedding-only/Dual-stream GRU Capture@1/2/5/10%",remove,"See DIFF.md 12.4",Results integrity
13,Section 6.2 prose,lines 1096-1137,"'10/236 positives...16/243...' recall-first behaviour; held-out triage ranking; dual-stream helps; failure cases",remove/rewrite,"Replace entire subsection with DIFF.md 12.4 honest data-limitation writeup; keep leakage-control claims (independently verified, still true)",Results integrity
14,Table tab:seed_robustness,lines 1157-1170,"Impact prediction Dual-stream GRU PR-AUC 0.419+-0.018",remove row,"See DIFF.md 12.5 -- replace with stage-detection rows for both datasets, drop impact-prediction row",Results integrity
15,Section 5.7 (Scalability paragraph),lines 878-879,"32vCPU 256GB RAM GPU 11.8GB mini-batch neighbor sampling fanouts{15,10} 45k nodes/s 18.2s/epoch",remove,"Real: GCN trains transductively (full-graph forward pass) on CPU, no neighbor sampling/mini-batching in codebase. Replace with real inference_latency table (DIFF.md 12.7)",Deployability / reproducibility (inferred)
16,Figure fig:epoch + paragraph,lines 881-889,"baseline/overfit/faster-noisier training curves",flag_unverifiable,"No per-epoch log artifact exists anywhere in results/. Either instrument trainers and regenerate for real, or remove. Needs your decision -- not auto-removed since it may be addable cheaply",Reproducibility (inferred)
17,Section 5.6.2 (inter-annotator agreement),line 669,"consensus=83.3% kappa=0.78",flag_unverifiable,"Manual annotation exercise, not reproducible from pipeline artifacts -- confirm this took place; add note that this is manual, distinct from the new automated stage-mapping-sensitivity table",Reproducibility (inferred)
18,New table,not in manuscript,Edge-IIoTset main results (dataset summary/4-class/OvR),add,"Table 12.2 and 12.3 Edge-IIoTset panels; promised in Sec 5.1.1 / Table tab:edgeiiotset_stage_mapping but never delivered",Scope/generalization (red-tracked edit, confirmed from manuscript)
19,New table,not in manuscript,Stage-mapping sensitivity (both datasets),add,\input{manuscript_tables/tab_{dataset}_stage_mapping_sensitivity.tex},Label-mapping robustness (inferred)
20,New table,not in manuscript,Graph ablation (both datasets),add,\input{manuscript_tables/tab_{dataset}_graph_ablation.tex} -- fulfills Sec 4 'Edge-typed variants' promise,Ablation justification (inferred)
21,New table,not in manuscript,Meta-learner ablation (both datasets),add,\input{manuscript_tables/tab_{dataset}_meta_learner_ablation.tex} -- explains Finding 1,Ablation justification (inferred)
22,New table,not in manuscript,Baseline-tuning fairness (both datasets),add,\input{manuscript_tables/tab_{dataset}_baseline_tuning.tex},Baseline fairness (inferred)
23,New table,not in manuscript,Bootstrap 95% CI (both datasets),add,"\input{manuscript_tables/tab_{dataset}_bootstrap_ci.tex} -- caveat ToN-IoT only 50/1000 valid iterations",Statistical robustness (inferred)
24,New table,not in manuscript,Inference latency (both datasets),add,See item 15 replacement,Deployability (inferred)
25,New table + figure,not in manuscript,Window-sensitivity (ToN-IoT only; Edge-IIoTset SKIPPED),add,\input{...window_sensitivity.tex} + results/figures/toniot/window_sensitivity.png,Hyperparameter sensitivity (inferred)
26,New table,not in manuscript,Horizon-sensitivity SKIPPED note (both datasets),add,\input{manuscript_tables/tab_{dataset}_horizon_sensitivity.tex} -- documents forecasting invalidity source,Results integrity / transparency
27,Section 4.2 (feature construction prose),lines 262-270,"describes IoT/Linux/Windows field-level aggregation as implemented",soften,"This is valid framework/design description but was never executed at this scale -- add an explicit scope note that only the network-flow modality was empirically evaluated in this paper's results",Scope/generalization (inferred)
28,Section 6.2 (Complementarity paragraph),lines 1130-1133,"assumes both conservative IMP alerting and impact forecasting are available signals",soften,"Reword to not presuppose a forecasting result exists; frame forecasting as future-evaluable once data limitation is resolved",Results integrity
29,Whole document,general,"no response-to-reviewers letter found anywhere in repo/filesystem",flag,"Reviewer-comment mapping in this file and DIFF.md is INFERRED except item 18 (confirmed via manuscript's own \color{red} tracked edit). Supply the actual letter for firm R1/R2 attribution",N/A
